"Cost","Alaska.Vessel","Pacific.Whiting.Trawler","Large.Groundfish.Trawler","Small.Groundfish.Trawler","Sablefish.Fixed.Gear","Other.Groundfish.Fixed.Gear","Pelagic.Netter","Migratory.Netter","Migratory.Liner","Shrimper","Crabber","Salmon.Troller","Salmon.Netter","Other.Netter","Lobster","Diver","OtherG15","OtherL15"
"COST_CAPTAIN",74478.9393939394,269732.222222222,108415.642857143,0,36537.6588235294,16912,0,0,41028.9473684211,98678.612244898,26703.6730769231,16641.0714285714,14775,0,0,0,50148.1481481481,539.877300613497
"COST_CREW",182449.292929293,346536.111111111,148728.5,18388.6,47195.3529411765,12748,285000,0,5526.31578947368,108492.530612245,26811.0686813187,848.214285714286,9512.5,0,0,0,25061.1111111111,438.650306748466
"COST_FUEL",65221.797979798,208619.888888889,61349.0238095238,22596,16949.6941176471,8397.2,86250,0,27084.2105263158,50887.8979591837,17938.4505494506,6991.51785714286,4278.125,0,0,0,16374.0740740741,327.60736196319
"COST_FOOD",10652.6161616162,9089.66666666667,5800.78571428571,1680,4307.35882352941,652.7,21000,0,6081.57894736842,7261.55102040816,3396.67857142857,1887.05357142857,1378.125,0,0,0,3914.81481481481,54.601226993865
"COST_ICE",433.929292929293,15206.1111111111,11215.0476190476,2068,2728.21176470588,716,0,0,823.684210526316,11013.8367346939,998.642857142857,62.5,53.125,0,0,0,1007.40740740741,268.711656441718
"COST_BAIT",18503.2121212121,0,8324.54761904762,100,20747.6705882353,4666.8,22500,0,14436.8421052632,15891.7142857143,16876.9120879121,100,0,0,0,0,12326.4814814815,1666.25766871166
"COST_RMI",28949.6262626263,706522.333333333,53827.7142857143,0,5691.96470588235,0,0,0,0,24358.7346938776,3377.58516483516,0,0,0,0,0,0,0
"COST_INS",32263.5555555556,87806.3333333333,38540.1666666667,8940,9963.84705882353,1656.8,47500,0,12950,33371.612244898,8620.92582417582,2816.96428571429,1784.375,0,0,0,2966.66666666667,701.552147239264
"COST_INT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COST_PUR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COST_LEA",228.282828282828,0,1593.38095238095,0,153.529411764706,0,0,0,0,571.428571428571,0,0,0,0,0,0,0,0
"COST_MOORAGE",7815.51515151515,12503.1111111111,6219.02380952381,3463.2,4374.23529411765,2067.3,16000,0,4278.94736842105,5164.30612244898,3816.05769230769,2834.64285714286,1128.125,0,0,0,2920.74074074074,2081.77914110429
"COST_LANDINGSTAX",5594.26262626263,4729.44444444444,3860.7619047619,2160,2710.64705882353,1817.5,8650,0,3321.05263157895,4365.0612244898,3090.26648351648,1542.85714285714,878.125,0,0,0,3914.81481481481,1189.8773006135
"COST_ENFORCE",3467.29292929293,21796.6666666667,23837.5714285714,5321.6,680.652941176471,4,0,0,0,1954.75510204082,151.230769230769,0,0,0,0,0,14.8148148148148,0
"COST_DUES",3363.89898989899,12678.4444444444,3570.45238095238,0,526.282352941176,58.4,3500,0,865.789473684211,2471.04081632653,573.607142857143,229.017857142857,206.3125,0,0,0,285.185185185185,52.4539877300613
"COST_FREIGHT",858.191919191919,0,266.261904761905,0,210.082352941176,104,3500,0,5.26315789473684,755,150.098901098901,140.178571428571,131.25,0,0,0,194.074074074074,76.3803680981595
"COST_OFFLOAD",816.161616161616,4877.88888888889,3281.61904761905,6820.2,501.758823529412,317.46,0,0,0,2121.22448979592,407.521978021978,251.785714285714,6.25,0,0,0,1051.85185185185,78.5276073619632
"COST_TRUCK",572.727272727273,0,88.9523809523809,1360,580.588235294118,452.5,1250,0,105.263157894737,3840.81632653061,687.741758241758,491.071428571429,575,0,0,0,1800,190.79754601227
"COST_OTHER",842.828282828283,17521.3333333333,5786.02380952381,600,2565.96470588235,1533,2750,0,2236.84210526316,4321.04081632653,888.392857142857,298.214285714286,565.625,0,0,0,1251.85185185185,41.1042944785276
"COST_COMM",3783.39393939394,8555.33333333333,2078.83333333333,1280,1626.13529411765,874.6,5700,0,4726.31578947368,1944.83673469388,964.813186813187,719.464285714286,331.25,0,0,0,1303.7037037037,232.208588957055
"COST_TRAV",1429.17171717172,918.666666666667,358.357142857143,0,544.252941176471,132,2750,0,552.631578947368,3164.34693877551,515.252747252747,356.25,203.125,0,0,0,370.37037037037,0.613496932515337
"REV",752856.060606061,1596335.33333333,744582.666666667,68069.68,207521.112352941,54263.92,992762,0,232860.447368421,533164.142857143,246723.228021978,40364.4553571429,23937.1875,0,0,0,161654,5520.78957055215
"CREW",3.60471414141414,3.66666666666667,3.02380952380952,2.6,2.63235294117647,1.88,5.3333325,0,2.47368421052632,3.10204081632653,3.17857142857143,1.48214285714286,1.8125,0,0,0,1.97283962962963,1.67177914110429
